source_file,category,item,location,severity
Home inspection 318 Pewter.pdf,Exterior,Repair loose/unsecured vinyl siding to prevent water intrusion,Right Side Exterior,Major
Home inspection 318 Pewter.pdf,Exterior,Repair holes and damaged areas of siding/trim to prevent water/moisture intrusion,Rear Exterior,Major
Home inspection 318 Pewter.pdf,Exterior,Repair melted siding,Left Side Exterior,Cosmetic
Home inspection 318 Pewter.pdf,Exterior,Caulk/seal gaps around piping and fixtures to prevent water intrusion,Exterior General,Minor
Home inspection 318 Pewter.pdf,Site Elements,Regrade soil to provide positive slope away from foundation,General Foundation Perimeter,Major
Home inspection 318 Pewter.pdf,Site Elements,Address low areas with damp soil conditions conducive to ponding/pooling,Left Side and Rear of Home,Minor
Home inspection 318 Pewter.pdf,Site Elements,Seal cracks in patio concrete,Rear Patio,Minor
Home inspection 318 Pewter.pdf,Exterior,Repair garage door weather stripping/seal so door fully closes,Garage,Minor
Home inspection 318 Pewter.pdf,Interior,Repair settlement cracking and sheetrock tape joint cracking at ceilings and walls,Various Interior Areas,Minor
Home inspection 318 Pewter.pdf,Windows/Doors,Re-caulk/re-seal broken caulking at various windows,Various Interior Areas,Minor
Home inspection 318 Pewter.pdf,Plumbing,Repair defective sink stopper that does not hold water,Full Bath - Second Floor Hallway,Minor
Inspection 124_Truett_Pl___Alliance_Pro_Inspections_Residential_Report-summary.pdf,Exterior,Install missing splash blocks at multiple downspouts,Exterior,Minor
Inspection 124_Truett_Pl___Alliance_Pro_Inspections_Residential_Report-summary.pdf,Exterior,Seal holes in damaged vinyl siding to prevent water penetration,Exterior,Major
Inspection 124_Truett_Pl___Alliance_Pro_Inspections_Residential_Report-summary.pdf,Windows/Doors,Replace exterior door with pet access door to restore security and waterproofing,Exterior Door,Major
Inspection 124_Truett_Pl___Alliance_Pro_Inspections_Residential_Report-summary.pdf,Exterior,Repair torn screens at rear screened porch,Rear Screened Porch,Minor
Inspection 124_Truett_Pl___Alliance_Pro_Inspections_Residential_Report-summary.pdf,Exterior,Trim shrubs and vines away from contact with siding,Garage Right Exterior,Minor
Inspection 124_Truett_Pl___Alliance_Pro_Inspections_Residential_Report-summary.pdf,Foundation/Structural,Seal hairline cracks in garage concrete slab to prevent water penetration,Garage,Minor
Inspection 124_Truett_Pl___Alliance_Pro_Inspections_Residential_Report-summary.pdf,HVAC,Evaluate and repair gas log unit that is non-operational,General,Minor
Inspection 124_Truett_Pl___Alliance_Pro_Inspections_Residential_Report-summary.pdf,HVAC,Evaluate previous condensate leak and rust accumulation at emergency drip pan,Attic,Major
Inspection 124_Truett_Pl___Alliance_Pro_Inspections_Residential_Report-summary.pdf,Electrical,Replace inoperable light bulb or repair light fixture,General,Minor
Inspection 124_Truett_Pl___Alliance_Pro_Inspections_Residential_Report-summary.pdf,Plumbing,Caulk shower enclosure to repair leak,Master Bathroom,Major
Inspection 124_Truett_Pl___Alliance_Pro_Inspections_Residential_Report-summary.pdf,Electrical,Replace inoperable light bulb or repair light fixture,General,Minor
Inspection 124_Truett_Pl___Alliance_Pro_Inspections_Residential_Report-summary.pdf,Electrical,Install missing cover plates on receptacles to eliminate shock and short risk,Living Room,Safety
Inspection 124_Truett_Pl___Alliance_Pro_Inspections_Residential_Report-summary.pdf,Electrical,Install GFCI protection at laundry room receptacles,Laundry Room,Minor
Inspection 124_Truett_Pl___Alliance_Pro_Inspections_Residential_Report-summary.pdf,Electrical,Install carbon monoxide detector,General,Safety
Inspection 124_Truett_Pl___Alliance_Pro_Inspections_Residential_Report-summary.pdf,Electrical,Secure exposed 110V romex wiring into conduit,Interior/Exterior,Safety
Inspection 124_Truett_Pl___Alliance_Pro_Inspections_Residential_Report-summary.pdf,Plumbing,Repair kitchen sprayer handle that does not fully retract,Kitchen,Minor
Inspection 124_Truett_Pl___Alliance_Pro_Inspections_Residential_Report-summary.pdf,Plumbing,Correct reversed hot and cold water supply at kitchen faucet,Kitchen,Minor
Inspection 124_Truett_Pl___Alliance_Pro_Inspections_Residential_Report-summary.pdf,Plumbing,Tighten loose kitchen sink faucet at base,Kitchen,Minor
Inspection 124_Truett_Pl___Alliance_Pro_Inspections_Residential_Report-summary.pdf,Other,Clean heavy lint debris from dryer vent duct and exterior hood to prevent fire hazard,Laundry/Exterior Dryer Vent,Safety
Inspection 124_Truett_Pl___Alliance_Pro_Inspections_Residential_Report-summary.pdf,Interior,Repair damaged flooring,Second Floor Front Right Bedroom,Major
Inspection 124_Truett_Pl___Alliance_Pro_Inspections_Residential_Report-summary.pdf,Interior,Repair settling cracks and loose drywall tape seams and repaint,Rear Sunroom,Cosmetic
Inspection 124_Truett_Pl___Alliance_Pro_Inspections_Residential_Report-summary.pdf,Appliances,Replace burned out light bulbs in range hood,Kitchen,Minor
"Inspection Report (November 20, 2025) (1).pdf",Electrical,Repair or replace branch circuit cable with damaged sheathing left of crawl space door,Crawl Space,Safety
"Inspection Report (November 20, 2025) (1).pdf",Electrical,Secure unsecured junction box beneath the stairs,Crawl Space,Safety
"Inspection Report (November 20, 2025) (1).pdf",HVAC,Repair damaged insulation on living room supply duct - inner lining torn and insulation damaged despite tape repair,Crawl Space,Major
"Inspection Report (November 20, 2025) (1).pdf",HVAC,Repair damaged return duct with torn inner lining and insulation drafting dust and humidity from crawlspace into home,Crawl Space,Major
"Inspection Report (November 20, 2025) (1).pdf",HVAC,Reconnect disconnected AC condensate line at air handler to prevent pooling water and unsanitary conditions,Crawl Space,Major
Inspection report summary.pdf,Electrical,Kitchen exhaust fan light not functional,Kitchen,Minor
Inspection report summary.pdf,Electrical,Braided cloth NM wiring present with no ground lines and no GFCI protection - safety hazard requiring electrical inspector/contractor,Attic and Crawlspace,Safety
Inspection report summary.pdf,Electrical,Exposed wire terminations not in junction box,Crawlspace under Kitchen,Safety
Inspection report summary.pdf,Electrical,Damaged/disintegrating cloth NM wiring,Crawlspace under front of home,Safety
Inspection report summary.pdf,Electrical,Lights not functional,Kitchen,Minor
Inspection report summary.pdf,Foundation/Structural,Evident settling of porch foundation,Porch,Major
Inspection report summary.pdf,Exterior,Flat grading in front yard - needs to be sloped away from house for proper drainage,Front Yard,Major
Inspection report summary.pdf,Exterior,Downspouts terminating near foundation - need to be extended away from house,Exterior,Major
Inspection report summary.pdf,Foundation/Structural,Crack in foundation wall through cinder blocks,Right Rear Foundation,Major
Inspection report summary.pdf,Foundation/Structural,Mud tubes present - possible termite activity and hidden damage requiring inspection,Crawlspace under Kitchen,Safety
Inspection report summary.pdf,Insulation,Vapor barrier lacks full coverage - needs to be completed,Crawlspace,Major
Inspection report summary.pdf,Foundation/Structural,Damp earth present in crawlspace - moisture mitigation needed,Crawlspace - Rear,Major
Inspection report summary.pdf,Foundation/Structural,Evidence of past and present earth moisture,Crawlspace - Front,Major
Inspection report summary.pdf,Foundation/Structural,Fungal growth on floor joists,Crawlspace,Major
Inspection report summary.pdf,Foundation/Structural,Crawlspace vents at or below ground level - need water dams installed around vents,Front of Home,Major
Inspection report summary.pdf,Foundation/Structural,"Unconventional supplemental supports (cinder blocks, building jacks) for floor joists - needs proper structural support",Crawlspace,Major
Inspection report summary.pdf,Foundation/Structural,Wood rot where joist meets foundation,Crawlspace - Middle Rear,Major
Inspection report summary.pdf,Windows/Doors,Interior doors not latching properly throughout house,Interior - Throughout,Major
Inspection report summary.pdf,Windows/Doors,Windows not latching or locking properly,Living Room and Front Bedroom,Major
Inspection report summary.pdf,Roofing,Roof shingles at end of life - requires full reroof,Roof,Major
Inspection report summary.pdf,Roofing,Roof penetration flashing boots heavily sealed - improper installation needs correction,Roof,Major
Inspection report summary.pdf,Roofing,Chimney flashing improperly installed,Chimney,Major
Inspection report summary.pdf,Roofing,Indications of past leaking scattered throughout attic,Attic,Major
Inspection report summary.pdf,HVAC,Attic thermostatic ventilation fan not functioning - was unplugged and not operational,Attic,Minor
Inspection report summary.pdf,Insulation,Tunneling in attic insulation associated with rodent/mice activity - needs remediation,Attic,Major
Inspection report summary.pdf,Plumbing,Main water shut off valve not found - needs to be located or installed,General,Safety
Inspection report summary.pdf,Plumbing,Galvanic reaction on supply branch pipes due to dissimilar metals causing corrosion - needs repair or replacement,General,Major
Inspection report summary.pdf,Plumbing,Aged cast iron drain pipes approximately 60 years old and at end of service life - needs replacement,General,Major
Roof Inspection Report.pdf,Roofing,Metal roof improperly installed directly over existing shingle roof - recommend full roof replacement,General,Major
Roof Inspection Report.pdf,Roofing,Missing wall flashing at side walls and head walls,General,Major
Roof Inspection Report.pdf,Roofing,Replace pipe boots due to age,General,Minor
Roof Inspection Report.pdf,Exterior,Reattach gutter that has pulled away from wall,Back Wall,Minor
Sewer Inspection - 124 Antigua.pdf,Plumbing,Repair broken/cracked pipe section in sewer line with roots present,Main Sewer Line,Major
Sewer Inspection - 124 Antigua.pdf,Plumbing,Repair multiple offsets in main sewer line where pipes are not properly connected,Main Sewer Line,Major
acevedo_property_inspection.pdf,Roofing,Evaluate and repair previous water stains at roof decking to prevent future leaks,Attic,Major
acevedo_property_inspection.pdf,Exterior,Patch and seal minor cracking at patio,Rear Patio,Minor
acevedo_property_inspection.pdf,Exterior,"Clear landscaping from direct contact with exposed slab and siding, maintain 6-inch clearance",Garage Exterior,Minor
acevedo_property_inspection.pdf,HVAC,Evaluate previous water stains at sub-flooring around air handler,Attic,Major
acevedo_property_inspection.pdf,HVAC,Repair or replace missing or damaged insulation on refrigerant line,Exterior Rear,Minor
acevedo_property_inspection.pdf,Electrical,Replace or repair inoperable light fixture,Kitchen,Minor
acevedo_property_inspection.pdf,Plumbing,Install expansion tank at water heater,Attic,Minor
acevedo_property_inspection.pdf,Plumbing,Reconnect and secure partially disconnected flue at water heater to prevent CO gas intrusion and fire hazard,Attic,Safety
acevedo_property_inspection.pdf,Plumbing,Install gas meter bonding wire to ground per current electrical standards,Exterior Rear,Safety
acevedo_property_inspection.pdf,Electrical,Install electrical receptacle at passive radon piping in attic,Attic,Minor
acevedo_property_inspection.pdf,Insulation,Install missing insulation at pull down attic stairs and knee high closet doors,Second Floor Hall,Minor
acevedo_property_inspection.pdf,Windows/Doors,Replace windows with failed seals showing condensation between panes,Multiple,Major
acevedo_property_inspection.pdf,Windows/Doors,Repair or replace window with shifting gasket and failed seal,Front Entry,Major
acevedo_property_inspection.pdf,Windows/Doors,Seal gap between window frame and interior drywall,Multiple,Minor
acevedo_property_inspection.pdf,Interior,Repair and secure loose handrail at interior stairway,First Floor Hall,Safety
acevedo_property_inspection.pdf,Interior,Repair damaged cabinets,Second Floor Hall Bathroom,Minor
acevedo_property_inspection.pdf,Appliances,Secure loose dishwasher to countertop by replacing missing bracket screws,Kitchen,Minor
acevedo_property_inspection.pdf,Appliances,Replace burned out light bulbs at range hood,Kitchen,Cosmetic
acevedo_property_inspection.pdf,Electrical,Install conduit to protect exposed 120V Romex electrical line at garbage disposal,Kitchen,Safety
angelucci_home_inspection_report.pdf,Exterior,Install Z-flashing or proper flashing at decorative trim between floor levels and above garage door to prevent water intrusion behind siding panels,Front Exterior / Garage,Major
angelucci_home_inspection_report.pdf,Exterior,Flash stone veneer against adjoining trim and install weep drainage system,Front Exterior,Major
angelucci_home_inspection_report.pdf,Exterior,Seal cracked caulking at gas main wall penetration,Exterior Wall,Minor
angelucci_home_inspection_report.pdf,Insulation,Install weatherstripping and insulation on attic stair door and crawl space hatch,Attic / Crawl Space,Minor
angelucci_home_inspection_report.pdf,Foundation/Structural,Repair/re-secure leaning deck piers that are toenailed beneath rim joists,Main House Rear Deck,Safety
angelucci_home_inspection_report.pdf,Exterior,Clear overgrown vegetation around perimeter of home to restore air circulation and inspection access,General,Minor
angelucci_home_inspection_report.pdf,Foundation/Structural,Seal cracks in foundation to prevent moisture and pest intrusion,Main House Foundation,Major
angelucci_home_inspection_report.pdf,Foundation/Structural,Address elevated moisture/condensation in crawl space; open closed foundation vents and evaluate need for crawl space moisture mitigation,Crawl Space,Major
angelucci_home_inspection_report.pdf,Roofing,Replace loose/missing shingle on garage area of roof surface,Garage Roof,Major
angelucci_home_inspection_report.pdf,Plumbing,Secure loose exterior faucet to foundation wall to prevent stress on supply line,Exterior,Minor
angelucci_home_inspection_report.pdf,Plumbing,Reduce water pressure to within recommended range of 60-80 PSI,General,Major
angelucci_home_inspection_report.pdf,HVAC,Repair/reconnect disconnected or damaged water heater flue to prevent carbon monoxide hazard,Garage,Safety
angelucci_home_inspection_report.pdf,Electrical,Repair or replace broken/damaged electrical system ground connection,General,Safety
angelucci_home_inspection_report.pdf,Electrical,Replace improper self-tapping sheet metal screws on main electrical panel cover with correct fasteners,Garage,Safety
angelucci_home_inspection_report.pdf,Electrical,Repair loose outlet cover plate with discoloration and low voltage plug protruding from wall below,Bonus Room,Safety
angelucci_home_inspection_report.pdf,Electrical,Verify and install electrical bonding on CSST corrugated stainless steel gas lines,Attic,Safety
angelucci_home_inspection_report.pdf,HVAC,Repair or replace CSST gas line with damaged sheathing at meter,Gas Meter,Safety
angelucci_home_inspection_report.pdf,HVAC,Repair or replace corroded gas line,General,Safety
angelucci_home_inspection_report.pdf,Interior,Repair cosmetic ceiling damage at foyer-to-living-room transition and living-room-to-kitchen ridge,Foyer / Living Room / Kitchen,Cosmetic
angelucci_home_inspection_report.pdf,Electrical,Repair or replace non-functioning recessed can light fixture,Kitchen,Minor
angelucci_home_inspection_report.pdf,Interior,Investigate ceiling stains indicating history of leak and repair as needed,Kitchen,Major
angelucci_home_inspection_report.pdf,Interior,Evaluate and repair walk-in shower surface with uncommon texture to ensure it is sound and watertight,Master Bathroom,Major
angelucci_home_inspection_report.pdf,Plumbing,Clear slow-draining right sink drain,Master Bathroom,Minor
angelucci_home_inspection_report.pdf,Plumbing,Repair active leak beneath right sink,Master Bathroom,Major
angelucci_home_inspection_report.pdf,Interior,Seal unsealed adjoining molding at shower to prevent moisture damage to flooring and nearby materials,Master Bathroom,Minor
angelucci_home_inspection_report.pdf,Exterior,Replace damaged garage door weather stripping,Garage,Minor
angelucci_home_inspection_report.pdf,Electrical,Repair or replace non-functioning interior and exterior light fixtures,Garage,Minor
angelucci_home_inspection_report.pdf,HVAC,Evaluate and correct improper HVAC supply/return vents in garage and disconnected ductwork in bonus room scuttle attic; garage conditioning must be on independent system,Garage / Bonus Room Attic,Safety
angelucci_home_inspection_report.pdf,Exterior,Adjust and repair garage door auto-reverse/stop safety mechanism,Garage,Safety
angelucci_home_inspection_report.pdf,HVAC,Service gas log fireplace unit and verify safe operation prior to closing,Living Room,Major
angelucci_home_inspection_report.pdf,Roofing,Repair or replace loose/damaged ridge vent above garage,Garage Attic,Major
angelucci_home_inspection_report.pdf,Insulation,Replace missing functional covers on crawl space foundation vents,Crawl Space,Minor
angelucci_home_inspection_report.pdf,Electrical,Install smoke detectors throughout home,General,Safety
angelucci_home_inspection_report.pdf,Electrical,Install carbon monoxide detectors throughout home,General,Safety
aster_inspection_report.pdf,Exterior,"Install trim blocks, flashing, and trim pieces around exterior fixtures on vinyl siding",Garage Left,Major
aster_inspection_report.pdf,Exterior,"Install trim blocks, flashing, and trim pieces around exterior fixtures on vinyl siding",Main House,Major
aster_inspection_report.pdf,Exterior,Seal step cracks in brick siding,Main House,Major
aster_inspection_report.pdf,Exterior,Repair rot at rear exterior door sill,Main House Rear,Major
aster_inspection_report.pdf,Windows/Doors,Evaluate and replace non-tempered single pane glass panel door,Main House,Safety
aster_inspection_report.pdf,Insulation,Insulate and weatherstrip pull down attic stairs,Main House,Minor
aster_inspection_report.pdf,Exterior,Seal gaps in trim around exterior windows,Main House,Major
aster_inspection_report.pdf,Exterior,Seal cracks in masonry driveway,Main House Front,Minor
aster_inspection_report.pdf,Exterior,Level unlevel stone paver patio to eliminate trip hazard,Main House Rear,Safety
aster_inspection_report.pdf,Exterior,Remove algae from rear wood patio to eliminate slip hazard,Main House Rear,Safety
aster_inspection_report.pdf,Exterior,Cut back overgrown vegetation around perimeter of home,Main House,Minor
aster_inspection_report.pdf,Foundation/Structural,Evaluate and repair waterproofing and foundation drain system due to evidence of standing water in crawl space,Crawl Space,Major
aster_inspection_report.pdf,Foundation/Structural,Evaluate and repair foundation drainage and waterproofing due to efflorescence on foundation walls,Crawl Space,Major
aster_inspection_report.pdf,Foundation/Structural,Repair rot along rear crawl space sill and damaged floor joists,Crawl Space,Major
aster_inspection_report.pdf,Foundation/Structural,Evaluate adequacy of vertical support for rear adjoining roofline,Attic,Major
aster_inspection_report.pdf,Roofing,Seal exposed nail fasteners at ridge vent,Main House Roof,Major
aster_inspection_report.pdf,Roofing,Locate and verify underground gutter downspout exits and repair as needed,Main House,Major
aster_inspection_report.pdf,Roofing,Clean debris from gutter trays,Main House,Minor
aster_inspection_report.pdf,Roofing,Secure loose downspout to home,Main House,Minor
aster_inspection_report.pdf,Plumbing,Replace exterior faucets with frost-free anti-siphon fixtures,Exterior,Minor
aster_inspection_report.pdf,Plumbing,Adjust water pressure to within recommended 60-80 PSI range,Crawl Space,Major
aster_inspection_report.pdf,Plumbing,Adjust water heater temperature to safe level of 120 degrees F or below,Garage,Safety
aster_inspection_report.pdf,Plumbing,Locate and install electrical lockout mechanism for water heater,Garage,Safety
aster_inspection_report.pdf,Plumbing,Replace undersized TPRV discharge line with correct diameter piping,Garage,Safety
aster_inspection_report.pdf,Electrical,Label all breakers in distribution panel,Garage,Safety
aster_inspection_report.pdf,Electrical,Secure loose branch circuit cabling conduit at HVAC disconnect,General,Safety
aster_inspection_report.pdf,Electrical,Evaluate and repair disconnected wires in attic/crawlspace,Attic/Crawl Space,Safety
aster_inspection_report.pdf,Electrical,Secure loose fastener on garbage disposal branch circuit cable,Kitchen,Safety
aster_inspection_report.pdf,Electrical,Secure loose receptacle(s) on porch,Porch,Safety
aster_inspection_report.pdf,Electrical,Repair or replace GFCI outlet that failed to reset after tripping,Front Porch,Safety
aster_inspection_report.pdf,Electrical,Evaluate and replace or upgrade ungrounded 2-prong receptacles throughout home,General,Safety
aster_inspection_report.pdf,Electrical,Install missing safety covers on closet light fixtures,General,Safety
aster_inspection_report.pdf,Electrical,Repair or replace non-functioning garage light fixtures,Garage,Minor
aster_inspection_report.pdf,Electrical,Install smoke detectors,General,Safety
aster_inspection_report.pdf,Electrical,Install carbon monoxide detectors,General,Safety
aster_inspection_report.pdf,HVAC,Evaluate and repair non-functioning gas furnace,Crawl Space,Major
aster_inspection_report.pdf,HVAC,Replace or protect flexible HVAC duct in garage with fire-rated material or metal duct,Garage,Safety
aster_inspection_report.pdf,HVAC,Repair corroded gas line,Crawl Space,Safety
aster_inspection_report.pdf,HVAC,Install proper trap on condensate drain lines and reposition lines off soil,Exterior/Crawl Space,Major
aster_inspection_report.pdf,HVAC,Reposition and elbow supply duct registers in bathrooms and kitchen toward baseboard,Bathrooms/Kitchen,Major
aster_inspection_report.pdf,HVAC,Seal gap in HVAC ductwork shroud against home,Exterior,Minor
aster_inspection_report.pdf,Plumbing,Install shutoff valves on utility sink water supply lines,General,Minor
aster_inspection_report.pdf,Interior,Evaluate and repair creaking subfloor,Kitchen,Minor
aster_inspection_report.pdf,Interior,Reroute bathroom ventilation fan exhaust duct to exit exterior of home rather than attic,Bathroom 1,Major
aster_inspection_report.pdf,Electrical,Repair open ground on bathroom receptacle(s),Bathroom 1,Safety
aster_inspection_report.pdf,Interior,Seal gaps at shower arm and adjoining floor,Bathroom 1,Minor
aster_inspection_report.pdf,Windows/Doors,Repair raking bathroom entry door that contacts frame and will not close properly,Master Bathroom,Minor
aster_inspection_report.pdf,Interior,Repair or replace peeling wallpaper around tub and shower,Master Bathroom,Cosmetic
aster_inspection_report.pdf,Interior,Reseal cracked caulking at shower floor junction,Master Bathroom,Minor
aster_inspection_report.pdf,Electrical,Repair reversed polarity on GFI receptacle(s),Master Bathroom,Safety
aster_inspection_report.pdf,Plumbing,Secure rocking toilet to floor,Master Bathroom,Major
aster_inspection_report.pdf,Interior,"Replace garage-to-house door with solid, metal-clad, or fire-rated door and address adjacent window fire separation issue",Garage,Safety
aster_inspection_report.pdf,Interior,Install fire-rated material separation between garage and attic/living area,Garage,Safety
aster_inspection_report.pdf,Interior,Adjust and repair garage door auto-reverse safety mechanism,Garage,Safety
aster_inspection_report.pdf,Interior,Seal cracks in masonry garage floor,Garage,Minor
aster_inspection_report.pdf,Electrical,Evaluate and replace undersized circuit breaker for electric oven,Kitchen,Safety
aster_inspection_report.pdf,Appliances,Repair or replace range hood duct to properly exit to exterior of home,Kitchen,Safety
aster_inspection_report.pdf,Appliances,Replace flexible dryer vent duct with rigid hard pipe that exits to exterior of home,Garage,Safety
buyersInspectionReport.pdf,Exterior,Patch minor cracks in property grounds/hardscape,Property Grounds,Minor
buyersInspectionReport.pdf,Exterior,Install missing handrail balusters on exterior stairs,Property Grounds,Safety
buyersInspectionReport.pdf,Exterior,Correct excessive tread height difference on exterior staircases,Property Grounds,Safety
buyersInspectionReport.pdf,Exterior,Remove overgrown vegetation from exterior walls,Property Grounds,Minor
buyersInspectionReport.pdf,Exterior,Repair deteriorated mortar joints in brick exterior,Exterior,Major
buyersInspectionReport.pdf,Exterior,Remove bee/wasp nests from soffits,Exterior Soffits,Safety
buyersInspectionReport.pdf,Exterior,Repaint peeling or damaged paint on patio/deck,Patio/Deck,Minor
buyersInspectionReport.pdf,Exterior,Replace or repair missing/deteriorated sealant in one or more areas,Exterior,Minor
buyersInspectionReport.pdf,Exterior,Remediate blue/green residue on brick and concrete columns,Exterior Front,Cosmetic
buyersInspectionReport.pdf,Exterior,Seal/patch minor cracks around exterior of home,Exterior,Minor
buyersInspectionReport.pdf,HVAC,Mount air conditioner compressor unit on stable concrete pad,Exterior Left Side,Major
buyersInspectionReport.pdf,Electrical,Replace light bulb or fixture on exterior of garage,Garage Exterior,Minor
buyersInspectionReport.pdf,Electrical,Replace outlet with broken plastic safety prongs lodged in receptacle,Dining Room,Safety
buyersInspectionReport.pdf,Electrical,Replace outlet with broken plastic safety prongs lodged in receptacle,Living Room,Safety
buyersInspectionReport.pdf,Windows/Doors,Repair loose closet door hardware,3rd Floor Hallway,Minor
buyersInspectionReport.pdf,Interior,Repair cut staircase stringer/trim,Steps/Stairways,Minor
buyersInspectionReport.pdf,Electrical,Replace non-functioning GFCI receptacle,2nd Floor Half Bathroom,Safety
buyersInspectionReport.pdf,Plumbing,Repair or replace inoperable sink stopper,Bathroom 2,Minor
buyersInspectionReport.pdf,Windows/Doors,Repair damaged door casing,Bathroom 3,Cosmetic
buyersInspectionReport.pdf,Plumbing,Repair or replace inoperable sink stopper,Bathroom 3,Minor
buyersInspectionReport.pdf,Plumbing,Perform annual maintenance flush on tankless water heater,Garage,Minor
buyersInspectionReport.pdf,Roofing,Seal poorly sealed roof penetration(s) visible from attic,Attic,Major
buyersInspectionReport.pdf,Electrical,Install cover on exposed electrical junction box near dehumidifier,Crawlspace,Safety
buyersInspectionReport.pdf,HVAC,Perform annual cleaning and service on heating equipment,Attic,Minor
buyersInspectionReport.pdf,HVAC,Repair damaged air supply duct (tape unsealed plug),Attic,Minor
buyersInspectionReport.pdf,HVAC,Repair large hole cut in furnace unit panel to prevent pest intrusion,Crawlspace,Safety
full_home_inspection_105_bitternut_ln__taylors__sc_29687_joseph_driedger_813_56.pdf,Exterior,Repair or replace damaged exterior trim,Exterior,Major
full_home_inspection_105_bitternut_ln__taylors__sc_29687_joseph_driedger_813_56.pdf,Exterior,Repair damaged vinyl siding,Exterior,Major
full_home_inspection_105_bitternut_ln__taylors__sc_29687_joseph_driedger_813_56.pdf,Exterior,Repair damaged soffit,Exterior,Major
full_home_inspection_105_bitternut_ln__taylors__sc_29687_joseph_driedger_813_56.pdf,Exterior,Seal exterior penetration openings,Exterior,Minor
full_home_inspection_105_bitternut_ln__taylors__sc_29687_joseph_driedger_813_56.pdf,Windows/Doors,Repair or replace deadbolt that does not fully engage,Exterior Door,Safety
full_home_inspection_105_bitternut_ln__taylors__sc_29687_joseph_driedger_813_56.pdf,Windows/Doors,Repair damaged exterior door frame,Exterior Door,Minor
full_home_inspection_105_bitternut_ln__taylors__sc_29687_joseph_driedger_813_56.pdf,Windows/Doors,Repair moisture damage at bottom corner of exterior door,Exterior Door,Major
full_home_inspection_105_bitternut_ln__taylors__sc_29687_joseph_driedger_813_56.pdf,Windows/Doors,Replace double-keyed deadbolt with key-outside/thumbturn-inside deadbolt,Exterior Door,Safety
full_home_inspection_105_bitternut_ln__taylors__sc_29687_joseph_driedger_813_56.pdf,Exterior,"Repair damaged fence including loose or missing boards, broken or leaning posts, and rot",Exterior,Minor
full_home_inspection_105_bitternut_ln__taylors__sc_29687_joseph_driedger_813_56.pdf,Exterior,Repair baluster spacing to meet safety standards,Deck,Safety
full_home_inspection_105_bitternut_ln__taylors__sc_29687_joseph_driedger_813_56.pdf,Exterior,Treat or stain weathered wood decking and remove debris between boards,Deck,Minor
full_home_inspection_105_bitternut_ln__taylors__sc_29687_joseph_driedger_813_56.pdf,Exterior,Repair sloping deck to ensure proper water drainage,Deck,Major
full_home_inspection_105_bitternut_ln__taylors__sc_29687_joseph_driedger_813_56.pdf,Exterior,Secure or replace lifting deck boards,Deck,Safety
full_home_inspection_105_bitternut_ln__taylors__sc_29687_joseph_driedger_813_56.pdf,Exterior,Repair and repaint moisture-damaged deck railing,Deck,Major
full_home_inspection_105_bitternut_ln__taylors__sc_29687_joseph_driedger_813_56.pdf,Exterior,Repair moisture-damaged stair stringer,Deck Stairs,Major
full_home_inspection_105_bitternut_ln__taylors__sc_29687_joseph_driedger_813_56.pdf,Exterior,Install missing top railing on deck steps,Deck Stairs,Safety
full_home_inspection_105_bitternut_ln__taylors__sc_29687_joseph_driedger_813_56.pdf,Exterior,Secure unsecured handrail on deck stairs,Deck Stairs,Safety
full_home_inspection_105_bitternut_ln__taylors__sc_29687_joseph_driedger_813_56.pdf,Exterior,Repair cracks and minor sinking in driveway and walkway,Driveway/Walkway,Minor
full_home_inspection_105_bitternut_ln__taylors__sc_29687_joseph_driedger_813_56.pdf,Roofing,Evaluate and repair minor damage to drip edge,Roof,Minor
full_home_inspection_105_bitternut_ln__taylors__sc_29687_joseph_driedger_813_56.pdf,Exterior,Replace or repair damaged garage door seal,Garage,Minor
full_home_inspection_105_bitternut_ln__taylors__sc_29687_joseph_driedger_813_56.pdf,Exterior,Adjust or replace misaligned lower weather strip on garage door,Garage,Minor
full_home_inspection_105_bitternut_ln__taylors__sc_29687_joseph_driedger_813_56.pdf,Exterior,Repair separation cracks in garage floor,Garage,Minor
full_home_inspection_105_bitternut_ln__taylors__sc_29687_joseph_driedger_813_56.pdf,Electrical,Repair or replace non-functioning exterior GFCI outlet,Exterior,Safety
full_home_inspection_105_bitternut_ln__taylors__sc_29687_joseph_driedger_813_56.pdf,Electrical,Install missing electrical receptacles in areas lacking outlets,General,Minor
full_home_inspection_105_bitternut_ln__taylors__sc_29687_joseph_driedger_813_56.pdf,Electrical,Secure unsecured exterior electrical outlet to wall,Exterior,Safety
full_home_inspection_105_bitternut_ln__taylors__sc_29687_joseph_driedger_813_56.pdf,Electrical,Install missing cover plate on electrical outlet or switch,General,Safety
full_home_inspection_105_bitternut_ln__taylors__sc_29687_joseph_driedger_813_56.pdf,HVAC,Clean sediment and repair dry moisture stains in HVAC catch trays,Attic,Major
full_home_inspection_105_bitternut_ln__taylors__sc_29687_joseph_driedger_813_56.pdf,HVAC,Install zoning control dampers for upstairs temperature regulation,General,Minor
full_home_inspection_105_bitternut_ln__taylors__sc_29687_joseph_driedger_813_56.pdf,HVAC,Secure loose duct insulation on distribution/return ducts,General,Minor
full_home_inspection_105_bitternut_ln__taylors__sc_29687_joseph_driedger_813_56.pdf,HVAC,Extend condensation lines away from foundation,Exterior,Minor
